Date,Region,Policy,source
2021-03-02,Texas,C1E_School closing,"https://web.archive.org/web/20210308014835/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210308233413/https://tea.texas.gov/about-tea/news-and-multimedia/news-releases/news-2021/texas-education-agency-announces-updates-to-public-health-guidance-tea-also-provides-updates-to-covid-19-vaccine-faq, https://web.archive.org/web/20200813143519/https://www.texasisd.com/P0"
2021-03-12,Texas,C1E_School closing,"https://web.archive.org/web/20210314204041/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210314204236/https://abc13.com/texas-mask-mandate-lifting-will-students-still-have-to-wear-masks-in-schools-houston-area-policy/10400944/, https://web.archive.org/web/20210314204349/https://www.dallasnews.com/news/education/2021/03/03/texas-schools-can-keep-mask-mandates-or-local-trustees-can-eliminate-the-requirement/, https://web.archive.org/web/20210314204628/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210314204718/https://www.texastribune.org/2021/03/12/texas-universities-spring-break-2021/, https://web.archive.org/web/20210314204815/https://baylorlariat.com/2021/03/10/smu-texas-state-other-texas-schools-opt-to-keep-covid-19-protocols/"
2021-03-15,Texas,C1E_School closing,"https://web.archive.org/web/20210319090801/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210314204236/https://abc13.com/texas-mask-mandate-lifting-will-students-still-have-to-wear-masks-in-schools-houston-area-policy/10400944/, https://web.archive.org/web/20210314204349/https://www.dallasnews.com/news/education/2021/03/03/texas-schools-can-keep-mask-mandates-or-local-trustees-can-eliminate-the-requirement/, https://web.archive.org/web/20210314204628/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210314204718/https://www.texastribune.org/2021/03/12/texas-universities-spring-break-2021/, https://web.archive.org/web/20210314204815/https://baylorlariat.com/2021/03/10/smu-texas-state-other-texas-schools-opt-to-keep-covid-19-protocols/"
2021-03-21,Texas,C1E_School closing,"https://web.archive.org/web/20210319090801/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210314204236/https://abc13.com/texas-mask-mandate-lifting-will-students-still-have-to-wear-masks-in-schools-houston-area-policy/10400944/, https://web.archive.org/web/20210314204349/https://www.dallasnews.com/news/education/2021/03/03/texas-schools-can-keep-mask-mandates-or-local-trustees-can-eliminate-the-requirement/, https://web.archive.org/web/20210314204628/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210314204718/https://www.texastribune.org/2021/03/12/texas-universities-spring-break-2021/, https://web.archive.org/web/20210314204815/https://baylorlariat.com/2021/03/10/smu-texas-state-other-texas-schools-opt-to-keep-covid-19-protocols/"
2021-03-25,Texas,C1E_School closing,"https://web.archive.org/web/20210328172032/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210328172143/https://www.fox4news.com/news/north-texas-school-districts-starting-to-make-changes-to-covid-19-guidelines, https://web.archive.org/web/20210328172238/https://www.tamu.edu/coronavirus/messages/mandatory-COVID-19-student-testing-program-begins-march-23.html, https://web.archive.org/web/20210328172323/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-04-05,Texas,C1E_School closing,"https://web.archive.org/web/20210405202641/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210405202728/https://www.tamu.edu/coronavirus/testing-locations/index.html, https://web.archive.org/web/20210405202842/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-04-19,Texas,C1E_School closing,"https://web.archive.org/web/20210419212456/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210419212612/https://www.tamu.edu/coronavirus/testing-locations/index.html, https://web.archive.org/web/20210419212706/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-04-26,Texas,C1E_School closing,"https://web.archive.org/web/20210419212456/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210420163608/https://www.tamu.edu/coronavirus/testing-locations/index.html, https://web.archive.org/web/20210422065627/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-05-03,Texas,C1E_School closing,"https://web.archive.org/web/20210503210407/https://www.edweek.org/leadership/map-where-are-schools-closed/2020/07, https://web.archive.org/web/20210327074522/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf, https://web.archive.org/web/20210503222346/https://www.tamu.edu/coronavirus/testing-locations/index.html, https://web.archive.org/web/20210503222427/https://www.kxan.com/texas-universities-and-schools-response-to-coronavirus/"
2021-05-10,Texas,C1E_School closing,https://web.archive.org/web/20210511015610/https://www.cnn.com/interactive/2020/health/coronavirus-schools-reopening/
2021-05-13,Texas,C1E_School closing,https://web.archive.org/web/20210511015610/https://www.cnn.com/interactive/2020/health/coronavirus-schools-reopening/
2021-06-04,Texas,C1E_School closing,https://web.archive.org/web/20210826225347/https://gov.texas.gov/news/post/governor-abbott-issues-executive-order-prohibiting-government-entities-from-mandating-masks
2021-07-20,Texas,C1E_School closing,https://web.archive.org/web/20210727212213/https://www.kxan.com/news/education/list-central-texas-school-districts-covid-19-safety-protocols-for-2021-22/
2021-07-27,Texas,C1E_School closing,https://web.archive.org/web/20210803194212/https://wacotrib.com/news/local/education/new-spike-in-covid-19-complicates-another-back-to-school-season-in-waco/article_1822a492-f196-11eb-94d3-2ba57d821114.html
2021-08-06,Texas,C1E_School closing,https://web.archive.org/web/20210816190518/https://www.texastribune.org/2021/08/06/texas-school-reopening-guidelines/
2021-08-11,Texas,C1E_School closing,"https://web.archive.org/web/20210816180724/https://www.texastribune.org/2021/08/11/texas-mask-mandates-covid-19/, https://web.archive.org/web/20210811234026/https://www.traviscountytx.gov/images/County-Judge-Order-202108.pdf"
2021-08-12,Texas,C1E_School closing,https://web.archive.org/web/20210813150722/https://publichealth.harriscountytx.gov/Portals/27/Documents/HCPH%20LHA%20School%20Mask%20Order%20PR.pdf?ver=8ab3QzFCy4o8YgOEwEWYQA==
2021-08-14,Texas,C1E_School closing,"https://web.archive.org/web/20210816192946/https://www.dallascounty.org/Assets/uploads/docs/hhs/press-releases/2021/081221%20BTS%20Immunizations%20Clinic%20at%20DCHHS%20PR.pdf, https://web.archive.org/web/20210823152634/https://www.ksat.com/news/local/2021/08/14/list-return-to-campus-plans-for-san-antonio-area-universities-colleges-amid-covid-19-surge/"
2021-08-18,Texas,C1E_School closing,https://web.archive.org/web/20210823153412/https://www.texastribune.org/2021/08/18/greg-abbott-joe-biden-texas-mask-mandates/
2021-08-19,Texas,C1E_School closing,"https://web.archive.org/web/20210823151132/https://www.texastribune.org/2021/08/19/texas-schools-mask-mandates-supreme-court-greg-abbott/, https://archive.fo/P3K9o, https://web.archive.org/web/20210823153613/https://www.texastribune.org/2021/08/19/texas-school-districts-shut-covid/, https://web.archive.org/web/20210823150543/https://www.texastribune.org/2021/08/19/texas-schools-covid-19-cases/"
2021-08-22,Texas,C1E_School closing,https://web.archive.org/web/20210823153746/https://www.dallasnews.com/news/education/2021/08/22/texas-school-safety-protocols-look-different-as-districts-head-into-third-year-disrupted-by-covid-19/
2021-08-23,Texas,C1E_School closing,https://web.archive.org/web/20210823153822/https://www.kxan.com/news/education/set-for-school/masks-to-be-required-in-hutto-isd-starting-monday/
2021-08-27,Texas,C1E_School closing,https://web.archive.org/web/20210904164734/https://www.texastribune.org/2021/08/27/texas-schools-covid-19-cases/
2021-09-03,Texas,C1E_School closing,https://web.archive.org/web/20210905154502/https://www.texastribune.org/2021/09/03/texas-covid-school-districts-shut-down/
2021-09-07,Texas,C1E_School closing,https://web.archive.org/web/20210921130822/https://www.ricethresher.org/article/2021/09/classes-with-over-50-students-expected-to-remain-virtual-unless-petitioned
2021-09-10,Texas,C1E_School closing,https://archive.fo/r9eBW
2021-09-27,Texas,C1E_School closing,https://web.archive.org/web/20211003022404/https://www.texastribune.org/2021/09/17/texas-schools-covid-19-cases/
2021-10-04,Texas,C1E_School closing,https://web.archive.org/web/20211011011027/https://www.texastribune.org/2021/09/17/texas-schools-covid-19-cases/
2021-10-12,Texas,C1E_School closing,"https://web.archive.org/web/20211024092339/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20211024115722/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/K-12-contact-tracing.html"
2021-10-25,Texas,C1E_School closing,"https://web.archive.org/web/20211031031909/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20211031031913/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/K-12-contact-tracing.html"
2021-11-01,Texas,C1E_School closing,"https://web.archive.org/web/20211107081321/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20211107081331/https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/K-12-contact-tracing.html"
2021-11-12,Texas,C1E_School closing,"https://web.archive.org/web/20211115123753/https://kfoxtv.com/news/back-to-school/some-canutillo-isd-schools-will-go-to-remote-learning-friday, https://web.archive.org/web/20211115124004/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance"
2021-11-16,Texas,C1E_School closing,"https://web.archive.org/web/20211115123753/https://kfoxtv.com/news/back-to-school/some-canutillo-isd-schools-will-go-to-remote-learning-friday, https://web.archive.org/web/20211115124004/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance"
2021-11-30,Texas,C1E_School closing,https://web.archive.org/web/20211115124004/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2021-12-07,Texas,C1E_School closing,https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2021-12-14,Texas,C1E_School closing,https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2022-01-04,Texas,C1E_School closing,https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2022-01-11,Texas,C1E_School closing,"https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance, https://web.archive.org/web/20220117092753/https://www.mysanantonio.com/news/local/article/Seguin-Marble-Falls-Hondo-close-schools-covid-16775404.php, https://web.archive.org/web/20220117093353/https://www.statesman.com/story/news/2022/01/14/hutto-isd-calendar-closing-schools-covid-19-omicron-staff-shortages/6532104001/"
2022-01-18,Texas,C1E_School closing,https://web.archive.org/web/20211213032243/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/coronavirus-covid-19-support-and-guidance
2022-01-24,Texas,C1E_School closing,"https://web.archive.org/web/20220129110608/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders, https://web.archive.org/web/20220129110729/https://www.fox29.com/news/texas-schools-closing-incentivizing-substitutes-to-keep-up, https://web.archive.org/web/20220129111022/https://tea.texas.gov/sites/default/files/covid/SY-20-21-Public-Health-Guidance.pdf"
2022-01-30,Texas,C1E_School closing,https://web.archive.org/web/20220129110608/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-02-07,Texas,C1E_School closing,https://web.archive.org/web/20220212053053/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-02-13,Texas,C1E_School closing,https://web.archive.org/web/20220212053053/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-02-20,Texas,C1E_School closing,https://web.archive.org/web/20220228053327/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-03-01,Texas,C1E_School closing,https://web.archive.org/web/20220228053327/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-03-09,Texas,C1E_School closing,https://web.archive.org/web/20220312200727/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-03-13,Texas,C1E_School closing,https://web.archive.org/web/20220320123410/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-03-21,Texas,C1E_School closing,https://web.archive.org/web/20220320123410/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-03-28,Texas,C1E_School closing,https://web.archive.org/web/20220403114929/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-04-04,Texas,C1E_School closing,https://web.archive.org/web/20220410085647/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-04-11,Texas,C1E_School closing,https://web.archive.org/web/20220416102506/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-04-17,Texas,C1E_School closing,https://web.archive.org/web/20220424111743/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-04-25,Texas,C1E_School closing,https://web.archive.org/web/20220501103537/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-05-02,Texas,C1E_School closing,https://web.archive.org/web/20220507033128/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-05-09,Texas,C1E_School closing,https://web.archive.org/web/20220515120910/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-05-16,Texas,C1E_School closing,https://web.archive.org/web/20220521082239/https://tea.texas.gov/texas-schools/health-safety-discipline/covid/covid-19-support-public-health-orders
2022-06-13,Texas,C1E_School closing,https://archive.ph/1EVCd
2022-07-19,Texas,C1E_School closing,https://archive.ph/r395l
2022-07-23,Texas,C1E_School closing,https://web.archive.org/web/20220809212406/https://www.dshs.texas.gov/
2022-08-31,Texas,C1E_School closing,https://web.archive.org/web/20220809212406/https://www.dshs.texas.gov/
2022-10-20,Texas,C1E_School closing,https://web.archive.org/web/20220809212406/https://www.dshs.texas.gov/
